       r/A         g0         g2 
1320.830020   0.000008   0.000023 
1323.476974   0.000008   0.000023 
1326.123928   0.000008   0.000023 
1328.770882   0.000008   0.000023 
1331.417836   0.000009   0.000023 
1334.064790   0.000009   0.000023 
1336.711744   0.000009   0.000023 
1339.358698   0.000009   0.000023 
1342.005652   0.000009   0.000023 
1344.652606   0.000009   0.000023 
1347.299560   0.000009   0.000023 
1349.946514   0.000009   0.000023 
1352.593468   0.000009   0.000023 
1355.240422   0.000009   0.000023 
1357.887376   0.000009   0.000023 
1360.534330   0.000009   0.000023 
1363.181284   0.000009   0.000023 
1365.828237   0.000010   0.000023 
1368.475191   0.000010   0.000023 
1371.122145   0.000010   0.000023 
1373.769099   0.000010   0.000023 
1376.416053   0.000010   0.000023 
1379.063007   0.000010   0.000023 
1381.709961   0.000010   0.000023 
1384.356915   0.000010   0.000023 
1387.003869   0.000010   0.000023 
1389.650823   0.000010   0.000023 
1392.297777   0.000010   0.000023 
1394.944731   0.000010   0.000023 
1397.591685   0.000010   0.000023 
1400.238639   0.000010   0.000023 
1402.885593   0.000010   0.000023 
1405.532547   0.000010   0.000023 
1408.179501   0.000010   0.000023 
1410.826455   0.000011   0.000023 
1413.473409   0.000011   0.000023 
1416.120363   0.000011   0.000023 
1418.767316   0.000011   0.000023 
1421.414270   0.000011   0.000023 
1424.061224   0.000011   0.000023 
1426.708178   0.000011   0.000023 
1429.355132   0.000011   0.000023 
1432.002086   0.000011   0.000023 
1434.649040   0.000011   0.000022 
1437.295994   0.000011   0.000022 
1439.942948   0.000011   0.000022 
1442.589902   0.000011   0.000022 
1445.236856   0.000011   0.000022 
1447.883810   0.000011   0.000022 
1450.530764   0.000011   0.000022 
1453.177718   0.000011   0.000022 
1455.824672   0.000011   0.000022 
1458.471626   0.000011   0.000022 
1461.118580   0.000011   0.000022 
1463.765534   0.000011   0.000022 
1466.412488   0.000011   0.000022 
1469.059441   0.000011   0.000021 
1471.706395   0.000011   0.000021 
1474.353349   0.000011   0.000021 
1477.000303   0.000011   0.000021 
1479.647257   0.000011   0.000021 
1482.294211   0.000011   0.000021 
1484.941165   0.000011   0.000021 
1487.588119   0.000011   0.000021 
1490.235073   0.000011   0.000021 
1492.882027   0.000011   0.000021 
1495.528981   0.000011   0.000020 
1498.175935   0.000011   0.000020 
1500.822889   0.000011   0.000020 
1503.469843   0.000011   0.000020 
1506.116797   0.000011   0.000020 
1508.763751   0.000011   0.000020 
1511.410705   0.000011   0.000020 
1514.057659   0.000011   0.000020 
1516.704613   0.000011   0.000020 
1519.351567   0.000011   0.000020 
1521.998520   0.000011   0.000019 
1524.645474   0.000011   0.000019 
1527.292428   0.000011   0.000019 
1529.939382   0.000011   0.000019 
1532.586336   0.000011   0.000019 
1535.233290   0.000011   0.000019 
1537.880244   0.000010   0.000019 
1540.527198   0.000010   0.000019 
1543.174152   0.000010   0.000018 
1545.821106   0.000010   0.000018 
1548.468060   0.000010   0.000018 
1551.115014   0.000010   0.000018 
1553.761968   0.000010   0.000018 
1556.408922   0.000010   0.000018 
1559.055876   0.000010   0.000018 
1561.702830   0.000010   0.000017 
1564.349784   0.000010   0.000017 
1566.996738   0.000010   0.000017 
1569.643692   0.000010   0.000017 
1572.290645   0.000010   0.000017 
1574.937599   0.000010   0.000017 
1577.584553   0.000010   0.000017 
1580.231507   0.000010   0.000016 
1582.878461   0.000010   0.000016 
1585.525415   0.000010   0.000016 
1588.172369   0.000010   0.000016 
1590.819323   0.000010   0.000016 
1593.466277   0.000009   0.000016 
1596.113231   0.000009   0.000016 
1598.760185   0.000009   0.000015 
1601.407139   0.000009   0.000015 
1604.054093   0.000009   0.000015 
1606.701047   0.000009   0.000015 
1609.348001   0.000009   0.000015 
1611.994955   0.000009   0.000015 
1614.641909   0.000009   0.000015 
1617.288863   0.000009   0.000014 
1619.935817   0.000009   0.000014 
1622.582771   0.000009   0.000014 
1625.229724   0.000009   0.000014 
1627.876678   0.000009   0.000014 
1630.523632   0.000009   0.000014 
1633.170586   0.000009   0.000013 
1635.817540   0.000009   0.000013 
1638.464494   0.000009   0.000013 
1641.111448   0.000009   0.000013 
1643.758402   0.000008   0.000013 
1646.405356   0.000008   0.000013 
1649.052310   0.000008   0.000012 
1651.699264   0.000008   0.000012 
1654.346218   0.000008   0.000012 
1656.993172   0.000008   0.000012 
1659.640126   0.000008   0.000012 
1662.287080   0.000008   0.000012 
1664.934034   0.000008   0.000011 
1667.580988   0.000008   0.000011 
1670.227942   0.000008   0.000011 
1672.874896   0.000007   0.000011 
1675.521849   0.000007   0.000011 
1678.168803   0.000007   0.000011 
1680.815757   0.000007   0.000010 
1683.462711   0.000007   0.000010 
1686.109665   0.000007   0.000010 
1688.756619   0.000007   0.000010 
1691.403573   0.000007   0.000010 
1694.050527   0.000007   0.000010 
1696.697481   0.000007   0.000010 
1699.344435   0.000007   0.000009 
1701.991389   0.000007   0.000009 
1704.638343   0.000007   0.000009 
1707.285297   0.000006   0.000009 
1709.932251   0.000006   0.000009 
1712.579205   0.000006   0.000009 
1715.226159   0.000006   0.000008 
1717.873113   0.000006   0.000008 
1720.520067   0.000006   0.000008 
1723.167021   0.000006   0.000008 
1725.813974   0.000006   0.000008 
1728.460928   0.000006   0.000008 
1731.107882   0.000006   0.000008 
1733.754836   0.000006   0.000007 
1736.401790   0.000006   0.000007 
1739.048744   0.000006   0.000007 
1741.695698   0.000006   0.000007 
1744.342652   0.000005   0.000007 
1746.989606   0.000005   0.000007 
1749.636560   0.000005   0.000006 
1752.283514   0.000005   0.000006 
1754.930468   0.000005   0.000006 
1757.577422   0.000005   0.000006 
1760.224376   0.000005   0.000006 
1762.871330   0.000005   0.000006 
1765.518284   0.000005   0.000005 
1768.165238   0.000005   0.000005 
1770.812192   0.000005   0.000005 
1773.459146   0.000004   0.000005 
1776.106100   0.000004   0.000005 
1778.753053   0.000004   0.000005 
1781.400007   0.000004   0.000005 
1784.046961   0.000004   0.000004 
1786.693915   0.000004   0.000004 
1789.340869   0.000004   0.000004 
1791.987823   0.000004   0.000004 
1794.634777   0.000004   0.000004 
1797.281731   0.000004   0.000004 
1799.928685   0.000004   0.000004 
1802.575639   0.000004   0.000003 
1805.222593   0.000004   0.000003 
1807.869547   0.000004   0.000003 
1810.516501   0.000004   0.000003 
1813.163455   0.000003   0.000003 
1815.810409   0.000003   0.000003 
1818.457363   0.000003   0.000003 
1821.104317   0.000003   0.000003 
1823.751271   0.000003   0.000002 
1826.398225   0.000003   0.000002 
1829.045178   0.000003   0.000002 
1831.692132   0.000003   0.000002 
1834.339086   0.000003   0.000002 
1836.986040   0.000003   0.000002 
1839.632994   0.000003   0.000002 
1842.279948   0.000003   0.000002 
1844.926902   0.000002   0.000001 
1847.573856   0.000002   0.000001 
1850.220810   0.000002   0.000001 
1852.867764   0.000002   0.000001 
1855.514718   0.000002   0.000001 
1858.161672   0.000002   0.000001 
1860.808626   0.000002   0.000001 
1863.455580   0.000002   0.000000 
1866.102534   0.000002   0.000000 
1868.749488   0.000002   0.000000 
1871.396442   0.000002   0.000000 
1874.043396   0.000002  -0.000000 
1876.690350   0.000002  -0.000000 
1879.337304   0.000002  -0.000000 
1881.984257   0.000001  -0.000000 
1884.631211   0.000001  -0.000001 
1887.278165   0.000001  -0.000001 
1889.925119   0.000001  -0.000001 
1892.572073   0.000001  -0.000001 
1895.219027   0.000001  -0.000001 
1897.865981   0.000001  -0.000001 
1900.512935   0.000001  -0.000001 
1903.159889   0.000001  -0.000001 
1905.806843   0.000001  -0.000001 
1908.453797   0.000001  -0.000002 
1911.100751   0.000001  -0.000002 
1913.747705   0.000001  -0.000002 
1916.394659   0.000001  -0.000002 
1919.041613   0.000000  -0.000002 
1921.688567   0.000000  -0.000002 
1924.335521   0.000000  -0.000002 
1926.982475   0.000000  -0.000002 
1929.629429   0.000000  -0.000002 
1932.276382   0.000000  -0.000003 
1934.923336  -0.000000  -0.000003 
1937.570290  -0.000000  -0.000003 
1940.217244  -0.000000  -0.000003 
1942.864198  -0.000000  -0.000003 
1945.511152  -0.000000  -0.000003 
1948.158106  -0.000000  -0.000003 
1950.805060  -0.000000  -0.000003 
1953.452014  -0.000000  -0.000003 
1956.098968  -0.000001  -0.000004 
1958.745922  -0.000001  -0.000004 
1961.392876  -0.000001  -0.000004 
1964.039830  -0.000001  -0.000004 
1966.686784  -0.000001  -0.000004 
1969.333738  -0.000001  -0.000004 
1971.980692  -0.000001  -0.000004 
1974.627646  -0.000001  -0.000004 
1977.274600  -0.000001  -0.000004 
1979.921554  -0.000001  -0.000004 
1982.568508  -0.000001  -0.000005 
1985.215461  -0.000001  -0.000005 
1987.862415  -0.000001  -0.000005 
1990.509369  -0.000001  -0.000005 
1993.156323  -0.000001  -0.000005 
1995.803277  -0.000001  -0.000005 
1998.450231  -0.000002  -0.000005 
2001.097185  -0.000002  -0.000005 
2003.744139  -0.000002  -0.000005 
2006.391093  -0.000002  -0.000005 
2009.038047  -0.000002  -0.000005 
2011.685001  -0.000002  -0.000006 
2014.331955  -0.000002  -0.000006 
2016.978909  -0.000002  -0.000006 
2019.625863  -0.000002  -0.000006 
2022.272817  -0.000002  -0.000006 
2024.919771  -0.000002  -0.000006 
2027.566725  -0.000002  -0.000006 
2030.213679  -0.000002  -0.000006 
2032.860633  -0.000002  -0.000006 
2035.507586  -0.000002  -0.000006 
2038.154540  -0.000002  -0.000006 
2040.801494  -0.000002  -0.000006 
2043.448448  -0.000003  -0.000007 
2046.095402  -0.000003  -0.000007 
2048.742356  -0.000003  -0.000007 
2051.389310  -0.000003  -0.000007 
2054.036264  -0.000003  -0.000007 
2056.683218  -0.000003  -0.000007 
2059.330172  -0.000003  -0.000007 
2061.977126  -0.000003  -0.000007 
2064.624080  -0.000003  -0.000007 
2067.271034  -0.000003  -0.000007 
2069.917988  -0.000003  -0.000007 
2072.564942  -0.000003  -0.000007 
2075.211896  -0.000003  -0.000007 
2077.858850  -0.000003  -0.000007 
2080.505804  -0.000003  -0.000007 
2083.152758  -0.000003  -0.000007 
2085.799712  -0.000003  -0.000007 
2088.446665  -0.000003  -0.000008 
2091.093619  -0.000003  -0.000008 
2093.740573  -0.000003  -0.000008 
