         q         I0         I2         I4         I6         I8        I10 
  0.059796   5.893232   3.361624   3.100661   1.409588   0.983310  -0.084833 
  0.060104   6.109024   3.887447   2.673602   0.722877   0.363697   0.363075 
  0.060411   5.972327   3.300020   2.367559   1.543535   0.725618  -0.027227 
  0.060716   6.145303   3.523385   1.945790   1.294502  -0.000155   0.503209 
  0.061020   6.472004   2.286470   2.933899   0.562684   0.277182  -0.144411 
  0.061328   6.197176   2.340062   1.832211   1.142444   0.679846   0.365299 
  0.061634   6.031732   2.782007   1.709047   1.643623   0.478611  -0.207187 
  0.061934   5.668822   2.589164   1.972415   0.616535   0.957955  -0.490155 
  0.062242   5.747476   3.193105   1.712368   1.433409   0.342067   0.441275 
  0.062553   5.246084   1.846087   2.284974   0.961947   0.561956   0.169942 
  0.062860   5.676610   2.495450   1.854312   1.356015   0.445018   0.809021 
  0.063164   6.783359   1.426594   1.963271   1.514969  -0.213527  -0.143922 
  0.063467   5.202044   2.539976   1.575956   0.877564   0.743771  -0.028039 
  0.063773   5.652213   1.993896   1.342034   1.143683   0.445242   0.408487 
  0.064081   6.113216   0.752714   2.245862   0.842090   1.011740  -1.239876 
  0.064383   6.120102   1.703200   2.004405   1.601962  -0.106948  -0.729106 
  0.064691   5.939254   1.508388   1.068622   1.191478   0.874726  -0.022433 
  0.064999   5.213777   1.464142   0.959818   0.964064   0.525980   0.400440 
  0.065304   5.676280   1.476068   0.969015   1.102445  -0.035457  -0.009209 
  0.065611   5.131822   1.854470   1.276381   0.036124   0.485758  -0.093740 
  0.065912   6.259685   1.044234   1.069935   1.725300  -0.005570   0.040424 
  0.066218   4.874969   1.531750   1.369019   0.820651   0.363688   0.002631 
  0.066527   5.746976   1.719852   0.354816   0.502203   0.059750  -0.828922 
  0.066832   5.740075   0.687670   0.712037   1.216181   0.690616  -0.022459 
  0.067138   4.899169   1.890002   0.918427   0.228311   1.259269  -0.570786 
  0.067443   5.712465   0.754456   1.187491   0.715075  -0.128411   0.146794 
  0.067750   4.885986   0.630529   1.304520   1.060521  -0.501503  -0.166132 
  0.068059   4.510775   1.127320   0.924263   1.129346  -0.070574  -0.218361 
  0.068364   5.580930   0.198120   1.349789   0.500154  -0.106843   0.791444 
  0.068670   5.405160   0.336759   0.944679   0.049140   0.594289  -0.282216 
  0.068975   5.500698   0.502237   0.953120   0.061665   0.713587  -0.239603 
  0.069280   5.357106   0.866791   0.715098   0.276321   0.421106  -0.726873 
  0.069584   5.716133   0.581196   0.767273   0.324302   0.337944  -0.210209 
  0.069890   5.890464   0.472821   0.845036   0.584271  -0.280568   0.116557 
  0.070204   4.245357   0.950387   0.974485  -0.153350   0.401952   0.392263 
  0.070509   4.906697   0.185594   1.147286   0.597824  -0.069682   0.382620 
  0.070810   5.597659   0.792417   1.007692  -0.110086   0.837539  -0.633103 
  0.071113   4.899857   0.764696  -0.416201   1.310908  -0.772358   1.624507 
  0.071420   5.401760   0.675899   0.599430   0.858981  -1.170253  -0.159815 
  0.071730   4.663245  -0.074854   1.134228   0.104467   0.569102  -0.131064 
  0.072035   4.572002   0.960839   0.216522   0.818021   0.333830  -0.116479 
  0.072337   5.174454   0.400777   0.268197   0.801888  -0.067198  -0.010670 
  0.072646   5.162427   0.584072   1.161999  -0.154512   0.208546   0.112238 
  0.072950   5.752839   0.457276   0.897095   0.116018   0.228252  -0.177896 
  0.073253   3.920463   0.508542   0.324012   0.316554  -0.104361   0.722587 
  0.073558   4.421672  -0.411785   0.799211  -0.427544   0.378995   0.406866 
  0.073865   4.405375  -0.026152   0.071078   0.114581  -0.074873   0.085534 
  0.074176   3.711510   0.343560   0.559639   0.241586   0.390432  -0.224270 
  0.074484   4.112520   0.074090   0.361174   0.008867   0.180837   0.609367 
